Emiten;EPS;PER;PBV;Harga
ADRO;140,56;12,06;1,07;1860,00
AKRA;253,22;23,69;3,14;6350,00
AMRT;14,49;43,14;4,31;610,00
ANTM;2,70;331,48;1,01;625,00
ARTO;-27,63;-2,35;1,30;168,00
ASII;374,37;22,10;2,37;8300,00
BBCA;835,76;18,20;3,37;21900,00
BBNI;608,02;9,09;1,19;9900,00
BBRI;1061,88;10,99;1,99;3640,00
BMRI;591,71;19,56;1,66;8000,00
BRPT;253,52;5,80;1,06;2260,00
CPIN;135,42;22,82;3,58;3000,00
EMTK;68,28;146,16;3,19;9500,00
ESSA;3,37;471,81;0,65;220,00
HRUM;66,34;32,26;1,48;2050,00
INCO;2,58;1093,02;0,99;2890,00
INDF;472,02;16,79;1,59;7625,00
ITMG;1554,27;10,86;1,60;20700,00
KLBF;49,06;30,88;5,79;1690,00
MDKA;-10,38;-185,16;3,76;2140,00
MEDC;744,92;1,69;0,38;890,00
PGAS;168,67;16,01;1,43;1750,00
PTBA;870,69;14,36;2,48;2460,00
SMGR;762,30;12,04;1,78;9900,00
TLKM;191,98;20,73;3,72;4440,00
TOWR;297,92;12,02;3,42;4000,00
UNTR;1341,03;15,85;2,16;35400,00
UNVR;837,57;46,32;70,43;55900,00
