Emiten;EPS;PER;PBV;Harga
ADRO;416,25;5,41;1,13;3850,00
AKRA;277,90;14,79;1,46;1400,00
AMRT;46,41;26,18;5,35;2650,00
ANTM;77,57;29,01;2,59;1985,00
ARTO;6,28;2547,77;26,61;3720,00
ASII;498,67;11,43;1,07;5700,00
BBCA;1111,93;28,34;4,39;8550,00
BBNI;589,11;11,46;0,98;9225,00
BBRI;207,11;19,84;2,11;4940,00
BMRI;606,67;11,58;1,46;9925,00
BRPT;16,62;51,42;1,32;755,00
BUKA;-16,23;-26,49;1,89;262,00
CPIN;220,79;26,65;3,88;5650,00
EMTK;92,47;24,66;4,15;1030,00
ESSA;12,70;41,73;1,93;915,00
GOTO;-18,06;-21,15;3,25;91,00
HRUM;392,68;26,29;3,01;1620,00
INCO;238,97;19,58;1,51;7100,00
INDF;870,71;7,26;0,64;6725,00
ITMG;6169,01;3,31;1,34;39025,00
KLBF;67,88;23,79;3,56;2090,00
MDKA;22,52;172,74;8,01;4120,00
MEDC;26,73;17,43;0,67;1015,00
PGAS;179,14;7,68;0,71;1760,00
PTBA;687,75;3,94;1,29;3690,00
SMGR;342,57;21,16;1,08;6575,00
TLKM;249,85;16,17;2,75;3750,00
TOWR;67,20;16,74;4,76;1100,00
UNTR;2778,29;7,97;1,15;26075,00
UNVR;151,13;27,20;36,28;4700,00
