Emiten;EPS;PER;PBV;Harga
ADRO;1225,58;3,14;1,20;2380,00
AKRA;119,57;11,71;2,14;1475,00
AMRT;68,80;38,52;9,59;2930,00
ANTM;159,21;12,47;2,01;1705,00
ARTO;1,16;3206,90;6,18;2900,00
ASII;714,67;7,98;0,96;5650,00
BBCA;333,90;25,61;4,72;9400,00
BBNI;989,84;9,32;1,21;5375,00
BBRI;341,14;14,48;2,44;6175,00
BMRI;445,57;22,27;1,82;7050,00
BRPT;0,30;2516,67;1,21;1330,00
BUKA;19,24;13,62;1,02;216,00
CPIN;178,56;31,64;3,52;5025,00
EMTK;88,95;11,58;1,58;590,00
ESSA;139,12;6,58;1,73;510,00
GOTO;-33,41;-2,72;0,88;86,00
HRUM;351,62;4,61;1,40;1335,00
INCO;318,44;22,30;1,90;4310,00
INDF;722,62;9,31;0,63;6450,00
ITMG;17162,11;2,27;1,44;25650,00
KLBF;72,12;28,98;4,43;1610,00
MDKA;38,14;108,02;3,12;2700,00
MEDC;332,72;3,05;0,93;1155,00
PGAS;212,07;8,30;0,79;1130,00
PTBA;1092,83;3,38;1,47;2440,00
SMGR;347,77;18,91;0,94;6400,00
TLKM;209,41;17,91;2,49;3950,00
TOWR;67,42;16,30;3,89;990,00
UNTR;5677,06;4,59;1,09;22625,00
UNVR;140,81;33,30;44,86;3530,00
