Emiten;EPS;PER;PBV;Harga
ADRO;65,72;11,11;0,5;1695
AKRA;265,03;29,43;4,23;6350
AMRT;10,87;49,22;4,58;550
ANTM;-60,04;-6,43;0,51;800
ASII;357,14;19,04;2,18;8200
BBCA;731;18,2;3,66;15500
BBNI;486,18;10,16;1,19;5525
BBRI;1029,53;10,99;2,49;11950
BMRI;871,5;10,51;1,81;11575
BRPT;-10,55;-39,72;0,18;2960
CPIN;112,02;23,21;3,39;3090
EMTK;236,08;43,63;3,77;9975
ESSA;53,9;24,68;1,01;132
HRUM;-98,33;-6,86;0,39;1940
INCO;70,11;23,32;0,64;2820
INDF;337,27;20,46;1,4;7975
ITMG;791,42;6,85;0,53;17225
KLBF;42,73;33,58;6,15;1540
MDKA;-20,16;-102,62;3,27;2310
MEDC;-786,46;-1,82;0,49;1015
PGAS;228,7;11,57;1,54;2510
PTBA;885,18;6,86;1,51;11350
SMGR;938,35;14,96;2,46;9175
TLKM;153,66;22,22;3,68;3900
TOWR;290;22;3,39;3580
UNTR;1041,48;14,62;1,45;24650
UNVR;769,97;55,75;67,85;39075
