Emiten;EPS;PER;PBV;Harga
ADRO;177,8;26,32;4,27;1215
AKRA;300,42;21,24;2,82;4290
AMRT;7,24;84,25;4,82;935
ANTM;5,69;109,84;0,81;765
ARTO;-7,28;-23,08;1,44;184
ASII;466,2;17,8;2,15;8225
BBCA;955,33;22,92;4,07;26000
BBNI;736,03;13,45;1,81;8800
BBRI;237,48;15,33;2,66;3660
BMRI;446,75;17,91;2,17;7375
BRPT;115,42;19,58;1,15;2390
CPIN;152,3;19,7;3,13;7225
EMTK;7,82;1214,83;3;8400
ESSA;3,15;69,84;0,84;322
HRUM;227,2;9,02;1,03;1400
INCO;-20,9;-138,28;1,17;3260
INDF;473,69;16,1;1,43;7450
ITMG;3111,21;6,65;1,8;20250
KLBF;51,25;32,98;5,7;1520
MDKA;162,14;13,2;2,98;3500
MEDC;105,64;8,42;0,76;685
PGAS;80,14;21,84;0,96;2120
PTBA;389,26;6,32;2,05;4300
SMGR;341,36;29;1,93;11500
TLKM;219,69;20,21;3,99;3750
TOWR;205,89;19,43;5,75;690
UNTR;2000,8;17,69;2,76;27350
UNVR;921,65;60,65;82,44;45400
