Emiten;EPS;PER;PBV;Harga
ADRO;64,76;22,08;0,82;2250,00
AKRA;231,23;13,75;1,21;4110,00
AMRT;25,58;31,27;4,35;1215,00
ANTM;47,89;40,41;2,44;2250,00
ARTO;-17,72;-242,66;37,50;16000,00
ASII;399,11;15,10;1,25;5700,00
BBCA;1170,70;30,44;4,47;7300,00
BBNI;177,32;34,82;1,01;6750,00
BBRI;152,78;27,29;2,55;4110,00
BMRI;363,63;17,39;1,51;7025,00
BRPT;6,47;170,02;2,47;855,00
BUKA;-13,09;-80,98;67,95;430,00
CPIN;234,27;27,85;4,58;5950,00
EMTK;33,63;416,29;6,37;2280,00
ESSA;-18,87;-11,13;0,75;530,00
GOTO;-12,00;-31,83;21,75;382,00
HRUM;308,25;9,67;1,26;10325,00
INCO;118,00;43,22;1,78;4680,00
INDF;733,59;9,34;0,76;6325,00
ITMG;506,10;27,37;1,31;20400,00
KLBF;58,28;25,39;3,80;1615,00
MDKA;22,29;109,02;6,69;3890,00
MEDC;-108,36;-5,44;0,88;466,00
PGAS;-154,32;-10,72;0,96;1375,00
PTBA;207,55;13,54;1,91;2710,00
SMGR;473,27;26,25;2,07;7250,00
TLKM;209,93;15,77;2,71;4040,00
TOWR;55,61;17,26;4,81;1125,00
UNTR;1622,49;16,39;1,57;22150,00
UNVR;188,02;39,09;56,79;4110,00
