Emiten;EPS;PER;PBV;Harga
ADRO;64,76;22,08;0,82;2250
AKRA;231,23;13,75;1,21;4110
AMRT;25,58;31,27;4,35;1215
ANTM;47,89;40,41;2,44;2250
ARTO;-17,72;-242,66;37,5;16000
ASII;399,11;15,1;1,25;5700
BBCA;1170,7;30,44;4,47;7300
BBNI;177,32;34,82;1,01;6750
BBRI;152,78;27,29;2,55;4110
BMRI;363,63;17,39;1,51;7025
BRPT;6,47;170,02;2,47;855
BUKA;-13,09;-80,98;67,95;430
CPIN;234,27;27,85;4,58;5950
EMTK;33,63;416,29;6,37;2280
ESSA;-18,87;-11,13;0,75;530
GOTO;-12;-31,83;21,75;382
HRUM;308,25;9,67;1,26;10325
INCO;118;43,22;1,78;4680
INDF;733,59;9,34;0,76;6325
ITMG;506,1;27,37;1,31;20400
KLBF;58,28;25,39;3,8;1615
MDKA;22,29;109,02;6,69;3890
MEDC;-108,36;-5,44;0,88;466
PGAS;-154,32;-10,72;0,96;1375
PTBA;207,55;13,54;1,91;2710
SMGR;473,27;26,25;2,07;7250
TLKM;209,93;15,77;2,71;4040
TOWR;55,61;17,26;4,81;1125
UNTR;1622,49;16,39;1,57;22150
UNVR;188,02;39,09;56,79;4110
ACES;42,88;40;5,63;1280
ADMR;-9,85;-13,71;1,51;135
ASRI;-52,43;-4,62;0,51;162
AUTO;0,47;2372,34;0,48;1155
BIRD;-64,54;-20,14;0,62;1380
BMTR;54,98;5,27;0,23;160
BNGA;80,82;12,31;0,6;965
BRIS;223,23;10,08;1,01;1780
DNET;23,16;151,12;4,9;3290
ERAA;38,49;57,16;1,23;600
GEMS;224,56;11,36;3,04;7950
GGRM;4025,12;10,19;1,35;30600
GJTL;91,54;7,16;0,33;665
HEXA;444,05;7,41;1,09;4600
HMSP;73,79;20,4;5,79;965
INDY;-318,83;-5,43;0,74;1545
INKP;754,11;13,82;0,95;7825
INTP;488,2;29,65;2,4;12100
ISAT;-132,73;-38,05;2,13;6200
JPFA;78,35;18,7;1,51;1720
KKGI;-20,66;-12,88;1,12;264
MBAP;322,86;8,33;1,69;3600
MYOR;91,99;29,46;5,38;2040
PWON;19,29;26,44;1,4;464
SRTG;3268,68;1,05;0,3;2800
TBIG;44,48;36,65;3,97;2950
TKIM;674,92;14,59;1,44;7525
TOBA;43,31;12,01;1,02;1100
TPIA;40,69;223,03;6,33;7325
LPPF;-335,84;-3,8;5,76;4150
AALI;438,47;28,11;1,23;9500
ADHI;6,66;230,48;0,98;895
BBTN;152,61;11,3;0,9;1730
BJBR;173,94;8,91;1,26;1335
BJTM;99,93;6,8;1,01;750
BRMS;0,59;140,68;0,86;116
BUMI;-64,17;-1,12;2,63;67
BYAN;1405,11;11,01;4,24;27000
CPIN;234,27;27,85;4,58;5950
JSMR;68,64;67,45;1,36;3890
MAPA;0,72;3375;2,32;2540
MAPI;-33,36;-23,68;2,02;710
MSIN;22,58;7,93;0,7;2480
POWR;65,49;10,84;1,21;615
PTRO;455,3;4,24;0,6;2170
TINS;-46,03;-32,26;2,24;1455
TPMA;11,31;30,95;0,85;388
ULTJ;94,8;16,88;3,87;1570
WIKA;20,64;96,17;1,07;1105
ADES;230,19;6,34;1,23;3290
ADMF;1025,57;8,75;8,75;7700
AGRO;1,47;704,08;5,1;1810
APLN;-6,03;-31,18;0,38;122
BBHI;9,03;46,95;5,06;7075
BBYB;2,4;124,17;1,75;2630
BFIN;43,85;12,77;1,35;1175
BSDE;13,29;92,17;0,75;1010
CLEO;11,06;45,21;6,71;470
CMNT;27,56;30,84;5,31;1105
CMPP;-257,45;-0,71;0,68;184
CTRA;71,01;13,87;1,05;970
DOID;-38,44;-9,16;0,82;264
DSSA;-1534,27;-10,43;0,55;49000
ENRG;73,48;1,76;0,45;102
FREN;-5,79;-11,57;1,43;87
GIAA;-1330,47;-0,3;-0,38;222
HRTA;37,12;6,57;0,83;212
KPIG;3,85;27,53;0,37;94
MPMX;26,3;18,78;0,35;1145
PNLF;58,12;4,23;0,28;172
RALS;-19,56;-39,62;1,48;655
SCMA;77,59;29,51;8,69;326
SIDO;31,13;25,86;7,5;865
SMDR;-14,28;-19,89;0,27;995
SMRA;12,49;64,45;1,28;835
TMAS;11,02;12,52;0,65;1370
TOTL;32,02;11,56;1,11;316
