Emiten;EPS;PER;PBV;Harga
ADRO;116,52;11,67;1,76;975
AKRA;168,91;30,79;4,96;4815
AMRT;129,56;49,78;7,95;520
ANTM;113,23;11,3;1,12;1075
ASII;480;15,83;3,43;6900
BBCA;480;23,02;5,2;10600
BBNI;378;12,43;2;4480
BBRI;778,93;10,33;3,03;8475
BMRI;664,46;12,19;2,44;8950
BRPT;-125,71;-3,34;0,43;830
CPIN;163,49;22;7,32;3985
EMTK;573,07;6,81;3,25;5550
ESSA;74,46;37,94;5,98;1750
HRUM;470,83;10,19;3,84;2200
MEDC;41,58;39,2;0,67;2680
PGAS;386,8;11,89;5,25;4925
PTBA;1262;11,97;4,13;9450
SMGR;817;20,38;5,69;14750
TLKM;636,14;14,23;3,54;2310
TOWR;340;66,76;6,78;2750
UNTR;1549;12,72;2,48;18800
UNVR;634;32,89;40,09;28575
ACES;24,98;35,23;9,43;790
ASRI;61,19;16,02;4,22;620
AUTO;273;14,29;2,93;3650
BMTR;97;23,97;3,09;2335
BNGA;168,44;8,25;1,53;935
DNET;1,2;208,33;3,62;805
ERAA;149;21,81;3,66;1535
GEMS;30,22;78,59;4,82;2175
GGRM;2086;24,86;3,77;50800
GJTL;325;8,38;1,73;2115
HMSP;2260,29;26,5;19,73;68900
INDY;127,64;9,56;0,82;590
INKP;87,71;9,92;0,24;1505
INTP;1293,15;17,44;4,28;23975
JPFA;472;19,39;4,49;1445
KKGI;232,08;10,66;3,57;1755
MYOR;952;29,67;7,24;30000
PWON;15,53;24,15;6,2;357
TBIG;180,8;30,42;6,6;6150
TKIM;251,42;7,88;0,35;1650
TPIA;-280,43;-15,6;1,95;2315
LPPF;264;10,23;-4,08;1520
AALI;1530,57;12,87;3,44;24900
ADHI;117,46;22,77;4,1;1890
BBTN;148;11,01;1,63;1015
BJBR;123;10,24;2,02;1025
BJTM;56,01;8,57;1,29;469
BRMS;-11,22;-33,42;0,68;231
BUMI;-317,37;-1,86;3,23;204
BYAN;193,4;40,33;5,14;8350
JSMR;235,91;23,1;4,3;5450
PTRO;470,93;4,06;1,06;1375
TINS;86;16,86;1,6;1520
TPMA;41,58;8,18;2,57;310
ULTJ;122;26,02;5,48;3975
WIKA;76,01;23,15;4,17;2135
ADES;141;27,66;11;2055
ADMF;1419;6,69;1,89;9000
AGRO;9,33;15,76;1,42;115
APLN;39,6;12,63;2,04;283
BFIN;322;6,29;1,08;2500
CMPP;0,84;1250;2,15;465
CTRA;39;28,46;3,01;1205
DOID;-18,08;-11,89;2,03;107
DSSA;203,07;66,97;1,33;13500
FREN;-28,74;-3,34;0,34;62
GIAA;47,38;13,93;1,39;483
RALS;59,71;20,43;2,85;1385
SCMA;93,98;23,94;10,03;3235
SMDR;483,5;8,32;0,35;3400
SMRA;114,89;20,67;4,71;1115
TOTL;51,51;17,47;4,66;1005
