Emiten;EPS;PER;PBV;Harga
ADRO;140,56;12,06;1,07;1860
AKRA;253,22;23,69;3,14;6350
AMRT;14,49;43,14;4,31;610
ANTM;2,7;331,48;1,01;625
ARTO;-27,63;-2,35;1,3;168
ASII;374,37;22,1;2,37;8300
BBCA;835,76;18,2;3,37;21900
BBNI;608,02;9,09;1,19;9900
BBRI;1061,88;10,99;1,99;3640
BMRI;591,71;19,56;1,66;8000
BRPT;253,52;5,8;1,06;2260
CPIN;135,42;22,82;3,58;3000
EMTK;68,28;146,16;3,19;9500
ESSA;3,37;471,81;0,65;220
HRUM;66,34;32,26;1,48;2050
INCO;2,58;1093,02;0,99;2890
INDF;472,02;16,79;1,59;7625
ITMG;1554,27;10,86;1,6;20700
KLBF;49,06;30,88;5,79;1690
MDKA;-10,38;-185,16;3,76;2140
MEDC;744,92;1,69;0,38;890
PGAS;168,67;16,01;1,43;1750
PTBA;870,69;14,36;2,48;2460
SMGR;762,3;12,04;1,78;9900
TLKM;191,98;20,73;3,72;4440
TOWR;297,92;12,02;3,42;4000
UNTR;1341,03;15,85;2,16;35400
UNVR;837,57;46,32;70,43;55900
ACES;41,55;19,86;4,64;1155
ASRI;25,96;13,56;0,96;384
AUTO;0;0;0,53;1795
BIRD;202,91;18,73;2,04;2820
BMTR;14,36;37,26;0,55;535
BNGA;83,6;13,34;0,81;1340
DNET;28,93;82,96;4,14;2250
ERAA;90,95;6,87;0;1230
GEMS;78,44;34,42;4,46;2750
GGRM;3510,57;18,67;3,19;70900
GJTL;179,02;6,54;0,7;810
HMSP;109,74;35,9;13,41;4480
INDY;-174,65;-4,01;0,37;3530
INTP;1046,03;15,18;2,24;17425
JPFA;181,11;9,41;2,08;1600
KKGI;129,76;3,85;0,44;380
PWON;34,66;17,17;2,6;620
TBIG;286,75;20,23;16,18;5675
TKIM;38,08;26,39;0,21;6950
TOBA;18,79;71,05;1,35;2680
TPIA;1221,52;19,48;5,1;5825
LPPF;696,45;18,56;20,33;10950
AALI;1056,3;14,15;1,64;13975
ADHI;87,07;25,5;1,45;2210
BBTN;249,42;8,5;1,16;3800
BJBR;120,25;18,96;2,26;2280
BJTM;69,47;8,92;1,27;775
BRMS;-165,56;-0,55;0,27;66
BYAN;117,08;51,25;7,91;10700
CPIN;135,4;22,82;3,58;3000
JSMR;258,81;16,81;1,93;5675
PTRO;-106,6;-7,6;0,36;2030
TINS;34,03;29,68;1,33;1150
TPMA;7,78;37,28;0,86;222
ULTJ;242,19;17,34;3,48;1470
WIKA;112,43;22,24;1,79;1750
ADMF;1009,35;6,98;1,42;9000
AGRO;6,78;130,53;6,93;560
BBHI;1,97;42,64;0,79;181
BBYB;17;20;2,2;400
BFIN;498,98;7,21;1,35;820
BSDE;93,55;19,51;1,44;1910
DOID;60,04;12,74;3,75;960
DSSA;969,3;12,07;0,52;13900
FREN;-19,04;-2,84;0,95;50
GIAA;4,19;83,05;0,66;3214
PNLF;48;4,33;0,33;248
RALS;57,53;19,64;2,4;1350
TMAS;210,28;6,68;1,61;1145
TOTL;62,39;12,9;2,91;715
