Emiten;EPS;PER;PBV;Harga
ADRO;1225,58;3,14;1,2;2380
AKRA;119,57;11,71;2,14;1475
AMRT;68,8;38,52;9,59;2930
ANTM;159,21;12,47;2,01;1705
ARTO;1,16;3206,9;6,18;2900
ASII;714,67;7,98;0,96;5650
BBCA;333,9;25,61;4,72;9400
BBNI;989,84;9,32;1,21;5375
BBRI;341,14;14,48;2,44;6175
BMRI;445,57;22,27;1,82;7050
BRPT;0,3;2516,67;1,21;1330
BUKA;19,24;13,62;1,02;216
CPIN;178,56;31,64;3,52;5025
EMTK;88,95;11,58;1,58;590
ESSA;139,12;6,58;1,73;510
GOTO;-33,41;-2,72;0,88;86
HRUM;351,62;4,61;1,4;1335
INCO;318,44;22,3;1,9;4310
INDF;722,62;9,31;0,63;6450
ITMG;17162,11;2,27;1,44;25650
KLBF;72,12;28,98;4,43;1610
MDKA;38,14;108,02;3,12;2700
MEDC;332,72;3,05;0,93;1155
PGAS;212,07;8,3;0,79;1130
PTBA;1092,83;3,38;1,47;2440
SMGR;347,77;18,91;0,94;6400
TLKM;209,41;17,91;2,49;3950
TOWR;67,42;16,3;3,89;990
UNTR;5677,06;4,59;1,09;22625
UNVR;140,81;33,3;44,86;3530
ACES;1,43;31,68;38,85;720
ADMR;7,74;13,26;127,8;1360
ASRI;0,3;2,69;55,41;164
AUTO;0,54;5,28;276,37;2360
BIRD;0,66;9,84;143,34;1790
BMTR;0,17;3,92;70,93;268
BNGA;0,65;5,85;202,48;1695
BRIS;1,76;13,84;93,22;1740
DNET;4,76;45,58;90,82;4700
ERAA;0,87;6,15;63,7;426
GEMS;4,72;3,89;1814,06;5800
GGRM;0,66;12,3;1463,02;20325
GJTL;0,27;-10,8;-51,83;1035
HATM;2,98;14,34;20,36;266
HEXA;1,77;5,7;925,6;5375
HMSP;3,47;15,45;54,37;895
INDY;0,67;1,99;1369,43;1435
INKP;0,54;3,56;2542,64;8325
INTP;1,86;19,88;497,96;9400
ISAT;1,57;10,59;583,14;9375
JPFA;1,11;10,67;121,36;1180
KKGI;1,03;3,29;121,66;368
MBAP;2,38;3,24;2351,67;4250
MTEL;1,98;37,42;21,38;705
MYOR;4,36;28,83;86,71;2490
PWON;1,06;14,28;31,93;454
SRTG;0,57;7,45;339,44;1640
TBIG;4,77;31,88;72,14;2090
TKIM;0,63;3;2351,25;7300
TOBA;0,73;5,39;112,29;304
TPIA;5,03;-94,49;-27,2;5250
LPPF;19,36;8,24;576,34;2000
AALI;0,69;8,83;908,74;7025
ADHI;0,46;50,05;9,67;312
AMMN;2,22;7,3;240,36;6550
BBTN;0,66;5,63;239,77;1250
BJBR;0,95;6,07;221,57;1150
BJTM;0,92;6,86;103,56;625
BRMS;1,5;105,3;1,51;170
BUMI;1,35;7,24;22,25;85
BYAN;22,3;20,41;1029,12;19900
CMRY;6,41;31,66;134,24;4010
CPIN;3,52;31,64;178,56;5025
DRMA;1,96;6,98;83,87;1420
HUMI;0,85;15,55;6,56;151
JSMR;0,84;7,92;376,29;4870
MAHA;2,33;5,26;30,04;193
MAPA;2,45;9,5;405,09;820
MAPI;2,47;11,33;127,58;1790
MSIN;26,14;161,74;29,8;3000
POWR;0,96;9,31;70,87;710
PTRO;0,93;6,73;643,78;5250
TINS;1,24;8,31;140,74;645
TPMA;0,87;5,34;86,5;705
ULTJ;2,93;17,81;82,83;1600
WIKA;0,41;-120,85;-6,62;240
ADES;618,7;11,6;3,17;9675
ADMF;1605,56;5,61;5,61;10950
AGRO;0,47;859,57;2,92;310
APLN;87,88;1,75;0,28;129
BBHI;12,56;140,53;5,92;1290
BBYB;-66,31;-9,73;2,05;436
BFIN;112,92;9,34;1,92;1205
BSDE;114,77;8,02;0,51;1080
CLEO;16,29;34,07;5,51;710
CMNT;-5,23;-173,04;4,04;1070
CMPP;-154,2;-1,25;-0,3;125
CTRA;100,13;9,39;0,83;1170
DOID;52,39;5,8;0,65;352
DSSA;12151,71;3,28;0,65;80000
ENRG;42,34;6,94;0,9;220
FREN;3,17;20,82;1,4;50
GIAA;642,63;0,32;-0,77;69
HRTA;55,11;3,67;0,54;348
KPIG;2;35,5;0,25;62
MPMX;147,05;7,62;0,81;1050
PGEO;48,39;18,08;1,83;1170
PNLF;63,05;5,68;0,19;264
RALS;49,58;11,5;1,08;515
SCMA;11,44;18,01;1,75;170
SIDO;36,82;20,51;6,46;525
SMDR;204,02;9,46;0,62;320
SMRA;37,9;15,96;0,85;575
TMAS;239,41;8,12;4,99;156
TOTL;26,96;11,2;0,83;376
