Emiten;EPS;PER;PBV;Harga
ADRO;88,13;11,06;0,8;955
AKRA;167,35;28,77;3,48;5050
AMRT;14,28;36,41;7,54;470
ANTM;43;25;0,8;1000
ASII;480;14,38;2,63;7875
BBCA;584,17;18,15;4,04;14600
BBNI;489,42;9,15;1,73;6225
BBRI;874,76;9,69;2,61;11775
BMRI;788,04;11,36;2,33;11775
BRPT;39,64;20,94;4,25;283
CPIN;154;25,88;6,57;3435
EMTK;183,77;30,2;3,34;7800
ESSA;146,87;11,92;1,76;2995
HRUM;188,69;11,66;1,24;1490
INCO;47,59;50,43;1,14;3510
INDF;285;24,91;1,62;7475
KLBF;40,93;36,4;8,22;1845
MEDC;46,48;57,66;0,82;3100
PGAS;433,43;11,36;3,59;5350
PTBA;793,98;11,9;2,88;10875
SMGR;905;16,3;4,01;14900
TLKM;140,92;16,39;3,01;2950
TOWR;16,52;166,46;7,7;3950
UNTR;1296;14,51;1,97;20975
UNVR;701;40,76;51,24;39650
ACES;29,7;26,6;7,07;710
ASRI;44,62;13,9;2,28;555
AUTO;209,64;17,41;1,84;3650
BMTR;44;53,07;2,46;1745
BNGA;171,98;5,44;0,9;790
DNET;13,58;59,28;1,59;920
ERAA;120;12,79;1,62;890
GEMS;28,75;75,65;4,31;2000
GGRM;2250;22,58;3,32;51000
GJTL;34,39;61,52;1,29;1285
HMSP;2468;27,92;21,33;67250
INDY;-146,47;-4,03;0,27;430
INKP;489,92;3,07;0,29;1045
INTP;1354,12;17,71;3,84;22375
JPFA;55,63;25,98;2,94;905
KKGI;210,48;8,34;1,96;995
MYOR;1164,9;25,75;6,81;28900
PWON;23,52;15,18;4,19;497
TBIG;260,19;23,64;7,17;9275
TKIM;253,25;6,34;0,22;850
TOBA;112,14;5,97;0,85;870
TPIA;35,76;64,74;0,73;3000
LPPF;103,02;14,75;1,56;16650
AALI;1143,93;21,77;3,82;24475
ADHI;225,54;8,38;2,2;3440
BBTN;149;6,81;0,92;1060
BJBR;142,01;7,17;1,46;950
BJTM;55,7;8,42;1,21;535
BRMS;-57,69;-4;0,37;167
BUMI;-356,89;-0,57;-1,15;80
BYAN;-134,12;-62,26;5,08;7875
JSMR;196,52;27,73;3,41;7125
PTRO;209,65;6,56;0,58;785
TINS;103,02;14,75;1,56;1040
TPMA;37,79;8,2;1,26;434
ULTJ;113;35,18;5,7;3720
WIKA;92,93;22,97;4,06;3385
ADES;94,35;21,78;4,58;1380
ADMF;1707;5,27;1,49;6850
AGRO;7,09;16,22;1,01;101
APLN;41,53;6,81;0,8;419
BFIN;339,08;7,37;1,12;2700
CMPP;9,46;49,15;0,89;124
CTRA;64;18,83;1,87;1495
DOID;-43,76;-2,45;1,05;131
DSSA;-247,42;-54,56;0,99;12900
FREN;-142,37;-0,44;0,36;67
GIAA;5,95;81,18;0,8;496
RALS;55,04;25,16;3,05;750
SCMA;87,52;36,96;16,96;3500
SIDO;27;32,41;5;545
SMDR;545,23;6,24;0,17;10000
SMRA;76,4;14,59;3,45;1770
TOTL;56,98;17,64;4,18;980
