Emiten;EPS;PER;PBV;Harga
ADRO;177,8;26,32;4,27;1215
AKRA;300,42;21,24;2,82;4290
AMRT;7,24;84,25;4,82;935
ANTM;5,69;109,84;0,81;765
ARTO;-7,28;-23,08;1,44;184
ASII;466,2;17,8;2,15;8225
BBCA;955,33;22,92;4,07;26000
BBNI;736,03;13,45;1,81;8800
BBRI;237,48;15,33;2,66;3660
BMRI;446,75;17,91;2,17;7375
BRPT;115,42;19,58;1,15;2390
CPIN;152,3;19,7;3,13;7225
EMTK;7,82;1214,83;3;8400
ESSA;3,15;69,84;0,84;322
HRUM;227,2;9,02;1,03;1400
INCO;-20,9;-138,28;1,17;3260
INDF;473,69;16,1;1,43;7450
ITMG;3111,21;6,65;1,8;20250
KLBF;51,25;32,98;5,7;1520
MDKA;162,14;13,2;2,98;3500
MEDC;105,64;8,42;0,76;685
PGAS;80,14;21,84;0,96;2120
PTBA;389,26;6,32;2,05;4300
SMGR;341,36;29;1,93;11500
TLKM;219,69;20,21;3,99;3750
TOWR;205,89;19,43;5,75;690
UNTR;2000,8;17,69;2,76;27350
UNVR;921,65;60,65;82,44;45400
ACES;45,48;25,4;5,64;1490
ASRI;70,41;5,45;0,88;312
AUTO;114,88;15,63;0,8;1470
BIRD;169,95;16,59;1,43;2870
BMTR;34,78;15,38;0,54;242
DNET;14,67;153,37;3,77;3290
ERAA;117,05;10,51;0,96;2200
GEMS;270,32;10,17;4,09;2550
GGRM;4080,87;17,37;3,23;83625
GJTL;12,87;62,94;0,5;650
HMSP;108,95;41,12;15,28;3710
INDY;873,89;4,04;1,22;1585
INTP;502,65;34,67;2,61;18450
JPFA;87,49;18,29;1,86;2150
KKGI;36,95;10,28;1,58;354
MBAP;662;5,262;2,58;2850
PWON;35,85;15,96;2,33;620
TBIG;514,75;11,02;8,07;3600
TKIM;119,35;58,23;1,6;11100
TOBA;145,23;18,45;2,28;1620
TPIA;242,51;24,02;4,59;5925
LPPF;657,61;16,65;13,72;5600
AALI;1058,07;13,21;1,45;11825
ADHI;143,17;15,44;1,34;1585
BBTN;288,33;13,18;1,84;2540
BJBR;126,25;18,06;2,17;2050
BJTM;102,66;7,55;1,47;690
BRMS;-50,67;-1,3;0,54;50
BYAN;1312,97;8,15;5,11;19875
CPIN;152,3;19,7;3,13;7225
JSMR;301,4;18,83;2,24;4280
PTRO;111,5;18,21;0,85;1785
TINS;67,9;16,94;1,41;755
TPMA;25,54;8,69;0,61;248
ULTJ;60,62;24,25;4,04;1350
WIKA;133,56;13,1;1,07;1655
ADES;64,83;14,27;1,29;920
ADMF;1409,15;6,39;1,57;9100
AGRO;7,94;70,53;3,19;310
APLN;66,91;3,44;0,41;152
BBHI;2,59;69,88;1,63;171
BBYB;3,07;130,29;2,75;284
BFIN;74,22;11,05;2,67;665
BSDE;256,26;7,45;1,26;1255
CLEO;22,81;48,44;8,16;284
CTRA;48,08;24,65;1,42;1010
DOID;73,64;13,04;3,42;525
DSSA;1505,4;9,23;0,54;13500
FREN;-29,15;-1,72;0,56;78
GIAA;-113,29;-2,77;0,64;298
PNLF;45,55;5,44;0,36;268
RALS;57,26;23,58;2,74;1420
SIDO;35,59;20,93;3,86;840
TMAS;48,23;23,74;1,28;800
TOTL;71,92;9,94;2,41;560
