Emiten;EPS;PER;PBV;Harga
ADRO;175,58;8,86;0,9;1430
AKRA;179,3;22,03;1,58;3180
AMRT;26,81;32,82;5,31;800
ANTM;8,08;103,96;1,11;1935
ARTO;-101,64;-30,5;5,43;4300
ASII;535,98;12,92;1,5;6025
BBCA;1059,64;28,55;4,68;33850
BBNI;831,59;9,44;1,16;6175
BBRI;281,51;15,63;2,57;4170
BMRI;594,85;12,9;1,7;6325
BRPT;6,89;219,19;3,51;1100
CPIN;221,62;29,33;5,06;6525
EMTK;-270,72;-20,59;2,56;14000
ESSA;2,56;104,69;0,89;210
HRUM;95,27;13,86;0,64;2980
INCO;80,6;45,16;1,34;5100
INDF;557,75;14,21;1,28;6850
ITMG;1635,59;7,02;1,05;13850
KLBF;53,45;30,31;4,55;1480
MDKA;44,96;23,8;3,22;2430
MEDC;-30,1;-28,74;0,83;590
PGAS;38,82;55,9;1,17;1655
PTBA;352,77;7,54;1,66;2810
SMGR;405,45;29,6;2,1;12425
TLKM;188,32;21,08;3,35;3310
TOWR;45,92;17,53;4,69;960
UNTR;3057,32;7,04;1,31;26600
UNVR;972,74;43,18;60,67;7350
ACES;59,5;25,13;5,41;1715
ASRI;51,61;4,61;0,44;242
AUTO;154,1;8,05;0,51;1115
BIRD;125,83;19,79;1,15;1300
BMTR;91,75;3,79;0,31;290
BNGA;146,39;6,59;0,55;995
BRIS;7,71;42,8;0,62;2250
DNET;36,83;83,36;4,57;3500
ERAA;92,21;19,47;1,15;2200
GEMS;154,11;16,55;3,01;2550
GGRM;5726,68;9,25;2;41000
GJTL;76,89;7,61;0,33;655
HEXA;553,03;6,27;1,21;3290
HMSP;117,98;17,8;6,85;1505
INDY;-48,55;-24,61;0,43;1730
INKP;693,46;11,1;0,76;10425
INTP;496,03;38,35;3,03;14475
ISAT;290,55;10,02;1,15;5050
JPFA;150,87;10,17;1,51;1465
KKGI;15,42;15,3;0,91;266
MBAP;408,78;4,84;1,2;2690
MYOR;89,25;22,97;4,62;2710
PWON;56,42;10,1;1,52;510
SRTG;2730,01;1,33;0,43;3436
TBIG;36,1;34,07;5,05;1630
TKIM;746,69;13,76;1,66;9850
TOBA;46,13;7,76;0,78;520
TPIA;30,58;339,27;7,56;9075
LPPF;488,17;8,62;6,76;1275
AALI;111,11;131,18;1,48;12325
ADHI;184,39;6,37;0,61;1535
BBTN;19,93;106,37;0,93;1725
BJBR;160,69;7,37;0,96;1550
BJTM;92,38;7,42;1,11;680
BRMS;0,29;179,31;0,45;83
BUMI;1,45;45,52;0,61;72
BYAN;941,03;16,9;6,16;15475
CPIN;221,62;29,33;5,06;6525
JSMR;302,34;17,12;1,62;4630
MAPA;236,82;22,38;4,94;2430
MAPI;56,23;18,76;2,38;790
MSIN;40,66;9,84;1,51;179
POWR;98,02;10,2;1,75;710
PTRO;433,36;3,7;0,55;1930
TINS;-82,61;-9,99;1,17;1485
TPMA;44,05;5,77;0,61;350
ULTJ;88,99;18,88;3,43;1600
WIKA;253,89;7,84;0,93;1985
ADES;142,2;7,35;1,09;1460
ADMF;2108,69;4,93;4,93;8975
AGRO;2,42;81,82;0,93;1035
APLN;-0,45;-393,33;0,27;188
BBHI;-8,91;-14,03;1,73;424
BBYB;2,62;108,4;1,83;298
BFIN;44,48;12,59;1,47;560
BSDE;145,39;8,63;0,72;1225
CLEO;10,9;46,33;7,91;500
CMPP;-14,72;-12,5;9,73;184
CTRA;62,26;16,7;1,09;985
DOID;33,1;8,46;0,62;352
DSSA;905,94;15,32;0,47;16000
ENRG;37,79;1,32;0,35;129
FREN;-10,16;-13,58;2,36;67
GIAA;-21,2;-23,49;1,29;402
HRTA;32,63;6,13;0,76;244
KPIG;3,22;42,24;0,48;106
MPMX;96,24;6,91;0,41;494
PNLF;61,73;4,89;0,37;246
RALS;91,25;11,67;1,81;775
SCMA;72,31;19,5;3,8;2290
SIDO;53,85;23,68;6,24;805
SMDR;-161,6;-1,57;0,24;284
SMRA;35,76;28,1;1,53;805
TMAS;16,32;6,25;0,49;138
TOTL;51,68;8,44;1,38;370
