Emiten;EPS;PER;PBV;Harga
ADRO;156,06;12,3;2,78;1360
AKRA;601,22;6,65;4,52;5200
AMRT;105,1;37,58;9,28;6450
ANTM;200,57;9,67;1,72;1280
BBCA;444;18,13;4,68;11050
BMRI;529,33;12,66;2,29;8100
BRPT;-45,8;-16,81;0,76;420
CPIN;144;19,1;7,32;4149
EMTK;118,08;27,95;4,31;3900
ESSA;180,64;12,59;17,33;2825
HRUM;542,31;12,63;6,07;4800
ITMG;4386;8,6;4,3;41550
MEDC;262,07;9,25;1,05;1630
PGAS;245;15,31;5,74;4600
PTBA;1339;15,46;5,9;15100
SMGR;662;17,3;4,7;16650
TLKM;559,67;12,69;3,01;9050
UNTR;1672;15,3;3,7;19700
UNVR;546;34,43;39,02;20850
ACES;166,25;26,77;6,32;880
ASRI;33,68;17,52;4,23;980
AUTO;261;12,74;2,71;3900
BMTR;58;27,59;2,76;2325
BNGA;126,77;9,62;1,65;1390
DNET;4;80;4,58;250
ERAA;126;10,16;1,73;3250
GEMS;55,74;53,82;6,22;2375
GGRM;2544;24,39;4,89;51850
GJTL;196;13,52;2,08;2725
HMSP;1840,16;21,19;16,76;59900
INDY;213;12,09;2,08;1220
INKP;26,57;46,29;0,37;870
INTP;977,1;18,73;4,29;22550
JPFA;298;12,84;2,39;9150
KKGI;450;14,33;9,82;2475
MYOR;614;26,71;5,32;28250
PWON;8,62;23,78;4,42;375
TBIG;104,1;22,81;4;5500
TKIM;480,6;4,42;0,42;1980
AALI;1527,59;14,21;4,06;19700
ADHI;103,64;7,43;1,41;2675
BBTN;127;9,61;1,46;1630
BJBR;99,24;10,68;1,89;1260
BRMS;27,46;22,58;1,15;375
BUMI;98,48;22,09;5,61;590
BYAN;550;32,55;12,63;7800
CPIN;144;19,1;7,32;5050
JSMR;197,68;25,55;5,43;5450
PTRO;473,35;9,24;0,31;1910
ULTJ;35;30,86;2,23;3175
WIKA;60,59;14,36;2,53;1760
ADES;44;23,64;4,88;3900
ADMF;1583;8,02;2,87;9500
AGRO;9,28;16,81;1,61;147
APLN;28,34;12,35;1,66;500
BFIN;559;10,2;1,83;2025
BSDE;48,05;20,4;2,5;1110
CMPP;3;156,67;0,97;1050
CTRA;21;35,24;2,2;1110
DSSA;389,92;29,36;1,2;13600
ENRG;1,69;111,24;1,27;3250
FREN;-15,89;-4,41;0,38;96
GIAA;36,39;17,31;1,89;660
KPIG;16,69;40,74;1,32;1500
RALS;53,21;15,03;2;1220
SCMA;473,33;17,64;10,74;2250
SMDR;598;7,61;0,42;4025
SMRA;57,04;26,47;4,21;2375
TOTL;36,61;7,78;1,53;900
