Emiten;EPS;PER;PBV;Harga
ADRO;65,72;11,11;0,5;1695
AKRA;265,03;29,43;4,23;6350
AMRT;10,87;49,22;4,58;550
ANTM;-60,04;-6,43;0,51;800
ASII;357,14;19,04;2,18;8200
BBCA;731;18,2;3,66;15500
BBNI;486,18;10,16;1,19;5525
BBRI;1029,53;10,99;2,49;11950
BMRI;871,5;10,51;1,81;11575
BRPT;-10,55;-39,72;0,18;2960
CPIN;112,02;23,21;3,39;3090
EMTK;236,08;43,63;3,77;9975
ESSA;53,9;24,68;1,01;132
HRUM;-98,33;-6,86;0,39;1940
INCO;70,11;23,32;0,64;2820
INDF;337,27;20,46;1,4;7975
ITMG;791,42;6,85;0,53;17225
KLBF;42,73;33,58;6,15;1540
MDKA;-20,16;-102,62;3,27;2310
MEDC;-786,46;-1,82;0,49;1015
PGAS;228,7;11,57;1,54;2510
PTBA;885,18;6,86;1,51;11350
SMGR;938,35;14,96;2,46;9175
TLKM;153,66;22,22;3,68;3900
TOWR;290;22;3,39;3580
UNTR;1041,48;14,62;1,45;24650
UNVR;769,97;55,75;67,85;39075
ACES;34,3;24,27;5,45;825
ASRI;30,43;12,36;1,12;352
BIRD;329,61;18,05;3,44;3800
BMTR;3,67;317,44;1,08;535
BNGA;17,18;34,63;0,52;1115
DNET;29,34;38,51;2,04;2400
ERAA;77,94;8,92;0,63;625
GEMS;4,72;296,61;2,41;2700
GGRM;3387,19;19,25;3,3;65525
GJTL;-89,52;-8,71;0,5;1170
HMSP;2204,96;50,24;16,1;3940
INDY;-118,29;-0,93;0,05;700
INKP;558,77;1,67;0,14;1310
INTP;1177,48;17,56;3,19;15875
ISAT;-242,59;-22,67;2,25;7000
JPFA;43,76;18,51;1,41;1705
KKGI;78,87;6,34;0,47;500
MYOR;1364,31;22,72;5,34;2060
PWON;26,18;18,53;2,47;595
SRTG;342;10,41;0,84;3260
TBIG;297,9;20,56;18,47;5800
TKIM;7,42;77,49;0,12;1005
TOBA;78,33;6,64;0,49;1335
TPIA;110,1;31,29;0,93;23800
LPPF;614,09;27,81;45,09;12925
AALI;386,94;42,84;2,23;14950
ADHI;128,8;20,38;1,81;2220
BBTN;176,28;7,97;1,06;2120
BJBR;143,45;6,45;1,14;2280
BJTM;59,76;7,53;1,06;620
BYAN;-269,22;-29,34;11,09;6000
CPIN;112,01;31,29;4,58;3090
JSMR;213,14;29,21;3,42;4350
MAPI;21,96;224,95;2,76;5400
PTRO;-175,46;-2,69;0,19;810
TINS;13,73;46,25;0,88;1010
TPMA;10,38;19,27;0,59;290
ULTJ;178,99;21,23;3,92;4200
WIKA;102,47;24,69;2,86;2500
ADMF;664,84;4,51;0,69;7050
AGRO;7,06;13,74;0,82;885
BBHI;-12,77;-9,4;1,15;84
BBYB;9,95;22,61;1,53;340
BFIN;406,43;6,89;1,09;3600
BSDE;111,43;15,21;1,48;1825
DOID;-13,81;-3,91;0,38;765
DSSA;-93,8;-129;0,74;11700
FREN;-15,23;-3,35;0,77;54
GIAA;40,74;11;0,88;348
MPMX;63,32;7,82;0,41;840
PNLF;28,29;6,75;0,39;208
RALS;47,33;15;1,51;1130
SCMA;104,35;31,1;13,9;2700
SMDR;682,68;6,47;0,18;5850
SMRA;59,39;26,44;3,01;1340
TMAS;288,15;6,51;2,63;1405
TOTL;56,29;11,99;2,66;805
