Emiten;EPS;PER;PBV;Harga
ADRO;69,01;31,88;3,79;1920
AKRA;83,26;17,78;2,35;4000
AMRT;74,55;38,9;9,17;3950
ANTM;174,58;12,89;2,25;1940
BBCA;348;20,26;5,05;8050
BMRI;439,38;15,59;3,32;6700
BRPT;-80,03;-12;1,14;770
CPIN;135;15;7,46;2750
INCO;395,6;12,01;3,12;3325
ITMG;1642,46;29,15;8,25;38850
KLBF;137;23,18;6;3550
PGAS;257;15,66;7,04;3750
TLKM;586,54;12,53;3,34;7100
UNTR;1164,13;19,63;19,63;25200
UNVR;443,9;34,69;29,05;18800
ACES ;103,7;25,07;4,33;4450
ASRI ;16,26;17,22;2,26;590
AUTO ;1479,83;8,78;2,6;3325
BMTR ;42;20;1,57;1600
BNGA ;106,46;17,66;2,53;1220
INDY ;148;26,69;3,78;2575
ISAT ;119,1;43,24;1,57;5650
JPFA ;463;7,34;2,29;3825
MYOR ;631;17,12;4,16;16400
PWON ;27,27;31,54;6,04;205
AALI ;1280,7;16,87;4,72;21700
BBTN ;105;16;2,27;1220
BJBR ;114,82;9,84;2,17;1060
CPIN ;135;15;7,46;2750
JSMR ;176,14;19,44;3,01;5050
PTRO ;3766,65;6,9;2,42;4375
WIKA ;50,15;12,96;2,17;870
ADMF;1467,91;8,17;3,16;12700
BFIN;476,2;6,82;6,82;5700
BSDE;22,54;36,38;2,34;980
CTRA;17,01;20,87;1,1;740
DOID;-23,37;-49,21;57,43;0
FREN;-38,89;-1,29;-49,62;70
GIAA;28;18,93;3,47;630
RALS;49,99;15,8;2,09;800
SCMA;273,09;14,1;4,98;8350
SMRA;34,76;32,22;3,6;1510
TOTL;25,37;10,05;1,56;285
