Emiten;EPS;PER;PBV;Harga
ADRO;416,25;5,41;1,13;3850
AKRA;277,9;14,79;1,46;1400
AMRT;46,41;26,18;5,35;2650
ANTM;77,57;29,01;2,59;1985
ARTO;6,28;2547,77;26,61;3720
ASII;498,67;11,43;1,07;5700
BBCA;1111,93;28,34;4,39;8550
BBNI;589,11;11,46;0,98;9225
BBRI;207,11;19,84;2,11;4940
BMRI;606,67;11,58;1,46;9925
BRPT;16,62;51,42;1,32;755
BUKA;-16,23;-26,49;1,89;262
CPIN;220,79;26,65;3,88;5650
EMTK;92,47;24,66;4,15;1030
ESSA;12,7;41,73;1,93;915
GOTO;-18,06;-21,15;3,25;91
HRUM;392,68;26,29;3,01;1620
INCO;238,97;19,58;1,51;7100
INDF;870,71;7,26;0,64;6725
ITMG;6169,01;3,31;1,34;39025
KLBF;67,88;23,79;3,56;2090
MDKA;22,52;172,74;8,01;4120
MEDC;26,73;17,43;0,67;1015
PGAS;179,14;7,68;0,71;1760
PTBA;687,75;3,94;1,29;3690
SMGR;342,57;21,16;1,08;6575
TLKM;249,85;16,17;2,75;3750
TOWR;67,2;16,74;4,76;1100
UNTR;2778,29;7,97;1,15;26075
UNVR;151,13;27,2;36,28;4700
ACES;40,4;31,68;3,93;496
ADMR;54,11;2,49;1,88;1695
ASRI;7,43;21,8;0,33;160
AUTO;127,36;9,07;0,47;1460
BIRD;3,09;446,6;0,67;1410
BMTR;83,68;3,11;0,18;278
BNGA;164,67;5,86;0,55;1185
BRIS;74,4;23,92;2,9;1290
DNET;65,28;50,4;4,13;4140
ERAA;63,67;9,42;1,48;392
GEMS;841,64;9,45;10,36;7050
GGRM;2950,17;10,37;0,99;18000
GJTL;23;28,91;0,32;560
HATM;12,88;12,66;3,08;298
HEXA;935,7;4,92;1,7;5275
HMSP;61,37;15,72;3,85;840
INDY;158,38;9,76;0,64;2730
INKP;1367,43;5,72;0,63;8725
INTP;483,38;25,03;2,16;9900
ISAT;833,44;7,44;3,27;6175
JPFA;172,67;9,95;1,54;1295
KKGI;65,93;4;0,94;400
MBAP;1195,82;3,01;1,55;7625
MTEL;16,54;50,18;2,06;800
MYOR;52,97;38,51;4,02;2500
PWON;28,68;16,18;1,17;456
SRTG;1830,14;1,53;0,68;2530
TBIG;68,24;43,23;6,83;2300
TKIM;1146,15;6,57;0,94;7050
TOBA;85,76;12,83;1,75;605
TPIA;100,49;72,89;3,79;2570
LPPF;351,1;11,82;10,83;4750
AALI;1037,56;9,16;0,86;8025
ADHI;15,33;58,38;0,56;484
BBTN;226,31;7,64;0,85;1350
BJBR;207,33;6,44;0,99;1345
BJTM;102,22;7,34;1,02;710
BRMS;9,75;11,9;1,15;159
BUMI;32,27;2,08;0,54;161
BYAN;5423,92;5,15;3,39;21000
CMRY;100,02;33,99;5,74;4250
CPIN;220,79;26,95;3,88;5650
DRMA;64,07;7,96;2,22;585
JSMR;221,27;17,58;1,11;2980
MAPA;86,47;29,37;2,23;3850
MAPI;25,31;28,05;1,65;1445
MSIN;34,96;70,94;6,42;4820
POWR;80,15;7,67;0,99;660
PTRO;481,07;4,51;0,59;4330
TINS;176,06;8,26;1,72;1170
TPMA;21,73;17,86;0,93;462
ULTJ;109,62;14,32;3,53;1475
WIKA;13,07;84,54;0,57;800
ADES;450,51;7,3;2;7175
ADMF;1213,32;6,35;6,35;9000
AGRO;-136,36;-13,37;16,59;404
APLN;-28,65;-4,26;0,26;154
BBHI;9,3;760,75;62,79;1765
BBYB;-106,05;-24,8;8,49;645
BFIN;70,71;16,62;2,53;1055
BSDE;63,61;15,88;0,6;920
CLEO;15,06;31,21;5,63;555
CMNT;12,96;85,26;4,67;905
CMPP;-218,98;-0,84;-0,38;192
CTRA;93,3;10,4;0,93;940
DOID;0,47;561,7;0,6;304
DSSA;2223,44;22,04;1,51;39800
ENRG;23,17;4,4;0,4;294
FREN;-1,41;-61,7;2,12;66
GIAA;-2291,49;-0,1;-0,07;204
HRTA;42,17;5,03;0,64;202
KPIG;2,43;38,68;0,31;71
MPMX;91,5;12,51;0,82;1120
PNLF;41,49;4,15;0,19;358
RALS;24,02;27,27;1,29;570
SCMA;18,21;17,9;3,23;206
SIDO;42,03;20,58;7,48;755
SMDR;402,23;2,47;0,6;1930
SMRA;19,62;42,56;1,23;605
TMAS;122,05;11,22;5,07;1945
TOTL;29,91;10,57;0,87;302
