Emiten;EPS;PER;PBV;Harga
ADRO;189,03;6,43;0,62;1555,00
AKRA;411,20;10,43;1,73;3950,00
AMRT;15,67;59,67;6,45;880,00
ANTM;68,17;11,22;1,00;840,00
ARTO;-19,41;-9,48;1,90;3100,00
ASII;535,14;15,37;1,91;6925,00
BBCA;955,00;24,54;4,18;33425,00
BBNI;811,63;10,84;1,47;7850,00
BBRI;264,96;13,81;2,41;4400,00
BMRI;541,45;13,62;1,84;7675,00
BRPT;58,76;40,67;1,09;1510,00
CPIN;277,71;26,02;6,11;6500,00
EMTK;-468,16;-17,94;3,06;5575,00
ESSA;41,94;7,68;0,98;268,00
HRUM;170,60;8,21;0,67;1320,00
INCO;88,51;36,83;1,19;3640,00
INDF;473,42;15,74;1,31;7925,00
ITMG;3448,47;5,87;1,63;11475,00
KLBF;52,39;29,01;4,66;1620,00
MDKA;180,96;19,34;2,38;1070,00
MEDC;-41,74;-16,41;0,61;865,00
PGAS;182,50;11,62;1,11;2170,00
PTBA;436,86;9,84;3,04;2660,00
SMGR;521,88;22,04;2,08;12000,00
TLKM;181,96;20,61;3,17;3970,00
TOWR;43,14;15,99;4,38;805,00
UNTR;3006,93;9,10;1,79;21525,00
UNVR;1194,89;38,00;45,71;42000,00
