Emiten;EPS;PER;PBV;Harga
ADRO;156,06;12,3;2,78;1360
AKRA;601,22;6,65;4,52;5200
AMRT;105,1;37,58;9,28;6450
ANTM;200,57;9,67;1,72;1280
BBCA;444;18,13;4,68;11050
BMRI;529,33;12,66;2,29;8100
BRPT;-45,8;-16,81;0,76;420
CPIN;144;19,1;7,32;4149
EMTK;118,08;27,95;4,31;3900
ESSA;180,64;12,59;17,33;2825
HRUM;542,31;12,63;6,07;4800
ITMG;4386;8,6;4,3;41550
MEDC;262,07;9,25;1,05;1630
PGAS;245;15,31;5,74;4600
PTBA;1339;15,46;5,9;15100
SMGR;662;17,3;4,7;16650
TLKM;559,67;12,69;3,01;9050
UNTR;1672;15,3;3,7;19700
UNVR;546;34,43;39,02;20850
