Emiten;EPS;PER;PBV;Harga
ADRO;175,58;8,86;0,90;1430,00
AKRA;179,30;22,03;1,58;3180,00
AMRT;26,81;32,82;5,31;800,00
ANTM;8,08;103,96;1,11;1935,00
ARTO;-101,64;-30,50;5,43;4300,00
ASII;535,98;12,92;1,50;6025,00
BBCA;1059,64;28,55;4,68;33850,00
BBNI;831,59;9,44;1,16;6175,00
BBRI;281,51;15,63;2,57;4170,00
BMRI;594,85;12,90;1,70;6325,00
BRPT;6,89;219,19;3,51;1100,00
CPIN;221,62;29,33;5,06;6525,00
EMTK;-270,72;-20,59;2,56;14000,00
ESSA;2,56;104,69;0,89;210,00
HRUM;95,27;13,86;0,64;2980,00
INCO;80,60;45,16;1,34;5100,00
INDF;557,75;14,21;1,28;6850,00
ITMG;1635,59;7,02;1,05;13850,00
KLBF;53,45;30,31;4,55;1480,00
MDKA;44,96;23,80;3,22;2430,00
MEDC;-30,10;-28,74;0,83;590,00
PGAS;38,82;55,90;1,17;1655,00
PTBA;352,77;7,54;1,66;2810,00
SMGR;405,45;29,60;2,10;12425,00
TLKM;188,32;21,08;3,35;3310,00
TOWR;45,92;17,53;4,69;960,00
UNTR;3057,32;7,04;1,31;26600,00
UNVR;972,74;43,18;60,67;7350,00
