Emiten;EPS;PER;PBV;Harga
ADRO;69,26;13,79;0,75;730
AKRA;207,72;24,31;3,32;7800
AMRT;13,82;34,01;6,04;535
ANTM;-81,61;-12,25;0,8;386
ASII;473,6;16,63;2,65;6800
BBCA;675,65;21,61;4,57;13300
BBNI;582,84;10,68;1,88;4990
BBRI;993,51;11,85;2,94;11425
BMRI;860,25;13,69;2,59;9250
BRPT;-15,47;-18,29;0,15;419
CPIN;106,51;32,25;5,15;2600
EMTK;194,96;40,01;2,7;10300
ESSA;122,02;18,03;1,94;1650
HRUM;1,89;788,36;0,89;675
INCO;216,47;16,21;1,57;1635
INDF;441,52;16,93;1,59;6900
ITMG;2264,28;8,09;1,85;5425
KLBF;44,02;41,91;8,81;1435
MEDC;38,13;81,3;0,9;1435
PGAS;371,53;14,4;3,52;2645
PTBA;876,6;12,41;2,89;6075
SMGR;943,37;15,79;3,53;11400
TLKM;145,22;20,31;3,45;3415
TOWR;82,42;47,93;8,63;4750
UNTR;1451,25;14,45;2,03;11225
UNVR;755,07;52,51;65,78;42925
